NUM,DOWNLOAD_DATE_TIME,START_MRID,BEGIN_DATE_TIME,NUMBER_OF_RECORDS,END_DATE,LAST_MRID
"1","2021-07-09 18:30:00 UTC","1","2019-08-13 20:00:00 UTC","66801","2021-07-09 16:00:00 UTC","66801"
"1","2021-07-16 19:58:26 UTC","66802","2021-05-19 04:30:00 UTC","5629","2021-07-16 19:30:00 UTC","72430"
"1","2021-09-15 13:52:28 UTC","72431","2021-07-16 19:45:00 UTC","5826","2021-09-15 12:00:00 UTC","78256"
"1","2022-05-25 01:51:48 UTC","78257","2021-09-15 08:00:00 UTC","2000","2021-10-06 15:45:00 UTC","80311"
"1","2022-05-25 01:54:18 UTC","80312","2021-10-06 16:00:00 UTC","1944","2021-10-26 21:45:00 UTC","82255"
"1","2022-05-25 01:55:30 UTC","82256","2021-10-26 22:00:00 UTC","2000","2021-11-16 17:45:00 UTC","84255"
"1","2022-05-25 01:57:10 UTC","84256","2021-11-16 18:00:00 UTC","1936","2021-12-06 21:45:00 UTC","86191"
"1","2022-05-25 01:58:31 UTC","86192","2021-12-06 22:00:00 UTC","2000","2021-12-27 17:45:00 UTC","88199"
"1","2022-05-25 02:03:41 UTC","88200","2021-12-27 18:00:00 UTC","1936","2022-01-16 21:45:00 UTC","90135"
"1","2022-05-25 02:05:16 UTC","90136","2022-01-16 22:00:00 UTC","2000","2022-02-06 17:45:00 UTC","92135"
"1","2022-05-25 02:06:34 UTC","92136","2022-02-06 18:00:00 UTC","1936","2022-02-26 21:45:00 UTC","94071"
"1","2022-05-25 02:08:14 UTC","94072","2022-02-26 22:00:00 UTC","2000","2022-03-19 17:45:00 UTC","96071"
"1","2022-05-25 02:10:19 UTC","96072","2022-03-19 18:00:00 UTC","1936","2022-04-08 21:45:00 UTC","98007"
"1","2022-05-25 02:11:51 UTC","98008","2022-04-08 22:00:00 UTC","2000","2022-04-29 17:45:00 UTC","100007"
"1","2023-02-14 02:01:24 UTC","100008","2022-04-29 18:00:00 UTC","1936","2022-05-19 21:45:00 UTC","101943"
"1","2023-02-14 02:10:57 UTC","101944","2022-05-19 22:00:00 UTC","2000","2022-06-09 17:45:00 UTC","103943"
"1","2023-02-14 02:12:04 UTC","103944","2022-06-09 18:00:00 UTC","1936","2022-06-29 21:45:00 UTC","105879"
"1","2023-02-14 02:27:38 UTC","105880","2022-06-29 22:00:00 UTC","2000","2022-07-20 17:45:00 UTC","107879"
"1","2023-02-14 02:44:02 UTC","107880","2022-07-20 18:00:00 UTC","1936","2022-08-09 21:45:00 UTC","109815"
"1","2023-02-14 03:13:43 UTC","109816","2022-08-09 22:00:00 UTC","2000","2022-08-30 17:45:00 UTC","111815"
"1","2023-02-14 03:25:34 UTC","111816","2022-08-30 18:00:00 UTC","1936","2022-09-19 21:45:00 UTC","113751"
"1","2023-02-14 03:31:39 UTC","113752","2022-09-19 22:00:00 UTC","2000","2022-10-10 17:45:00 UTC","115751"
